Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
ARE,abu-dhabi,46:30.0,9,4,2.2,4,4,46:30.0,8.433723018,8.586308109,-0.152585091
ARE,abu-dhabi,01:30.0,14.7,2,0.6,3,1,01:30.0,8.500991881,8.665303875,-0.164311994
ARE,abu-dhabi,01:30.0,1.6,2,1.7,1,2,01:30.0,8.400972652,8.624870795,-0.223898143
ARE,abu-dhabi,01:30.0,9.9,3,2.4,4,2,01:30.0,8.637256975,8.844830135,-0.20757316
ARE,abu-dhabi,01:30.0,11.5,5,1,5,4,01:30.0,8.939817076,9.094909391,-0.155092314
ARE,abu-dhabi,01:00.0,32.5,8,2.2,14,7,01:00.0,9.394147314,9.554560012,-0.160412698
ARE,abu-dhabi,01:00.0,67.8,11,7.5,21,10,01:00.0,9.900171795,10.06237338,-0.162201586
ARE,abu-dhabi,01:00.0,124,14,10.8,39,13,01:00.0,10.28577819,10.49580447,-0.210026273
ARE,abu-dhabi,01:00.0,230,18,28.7,78,16,01:00.0,10.59365047,10.6613695,-0.067719035
ARE,abu-dhabi,01:00.0,306.9,20,37.1,91,19,01:00.0,10.75919625,10.79800798,-0.038811727
ARE,abu-dhabi,01:00.0,420.3,24,57.3,122,24,01:00.0,10.98545639,10.67007158,0.315384805
ARE,abu-dhabi,01:00.0,315.5,25,55,85,25,01:00.0,10.94964645,10.25393492,0.695711528
ARE,abu-dhabi,46:00.0,345.6,24,56.7,92,24,46:00.0,10.84820063,10.12410228,0.724098342
ARE,abu-dhabi,16:00.0,236,19,40.7,65,24,46:00.0,10.36072855,9.88910428,0.471624266
ARE,abu-dhabi,46:00.0,124.1,14,18,36,18,46:00.0,9.852901012,9.654158066,0.198742947
ARE,abu-dhabi,01:30.0,72.6,11,7.9,24,12,01:30.0,9.658966302,9.649391809,0.009574493
ARE,abu-dhabi,01:30.0,156.5,14,20.2,53,12,01:30.0,10.21808163,10.05400086,0.164080773
ARE,abu-dhabi,01:30.0,226,22,30.4,68,11,01:30.0,10.7025187,10.12519382,0.57732488
ARE,abu-dhabi,46:30.0,266,24,41.4,78,11,46:30.0,10.88733099,10.2978789,0.589452086
ARE,abu-dhabi,46:30.0,129.4,12,16.5,40,9,01:30.0,9.858758035,10.00582375,-0.147065719
ARE,abu-dhabi,01:30.0,49.8,9,9.2,15,10,01:30.0,9.397233029,9.530299095,-0.133066066
ARE,abu-dhabi,01:30.0,37,9,5.4,13,10,31:30.0,9.374034523,9.46370683,-0.089672307
ARE,abu-dhabi,01:30.0,262,17,31.4,79,8,01:30.0,10.15159282,9.721875644,0.42971718
ARE,abu-dhabi,46:30.0,268.8,16,37.1,85,7,46:30.0,9.984654634,9.653869394,0.33078524
